File,Extension,Size(KB),Last Modified
generate_project_structure.py,.py,3.47,2026-09-01 11:43:11
Master_Context copy.md,.md,7.05,2026-07-20 18:17:35
Master_Context.md,.md,6.54,2026-08-17 16:00:50
Master_Context_ph2.md,.md,6.45,2026-07-14 14:38:20
master_context_updated.txt,.txt,6.12,2026-08-04 14:20:19
Milestones.txt,.txt,6.2,2026-08-08 11:44:18
new_approach.md,.md,7.84,2026-08-05 19:00:16
new_milestones.md,.md,2.85,2026-08-05 19:00:16
new_plans.md,.md,1.78,2026-08-06 17:40:26
new_project_scope.md,.md,8.48,2026-08-05 12:06:05
new_scope_highlevel.md,.md,1.8,2026-08-05 12:53:08
new_timeline.md,.md,7.44,2026-08-11 17:19:43
Project_File_Inventory.csv,.csv,12.62,2026-09-16 19:15:48
project_metadata.yaml,.yaml,0.39,2026-07-01 18:59:15
Project_Structure.md,.md,9.39,2026-09-16 19:15:30
Project_Structure1.md,.md,1.64,2026-07-01 18:32:28
Project_Structure2.md,.md,2.23,2026-07-20 18:49:54
Project_Structure_work.md,.md,2.05,2026-08-17 14:16:18
ref.txt,.txt,0.82,2026-08-18 11:36:51
fresh start\current_status.md,.md,0.79,2026-08-08 11:09:47
fresh start\master flow.md,.md,1.55,2026-08-07 19:23:51
fresh start\new_hybrid_mvp_full.md,.md,6.07,2026-08-11 17:19:43
project_reference\Project_File_Inventory1.csv,.csv,1.22,2026-09-01 11:43:42
project_reference\Project_Structure.md,.md,0.92,2026-09-16 19:15:49
project_reference\Project_Structure1.md,.md,0.83,2026-09-01 11:43:42
